"tramite_audiencia_name","tramite_audiencia_date","tramite_audiencia_numero_processo"
"PERÍCIA","2017-01-10","022/1.16.0011012-4"
"PERÍCIA","2017-01-10","022/1.16.0015687-6"
"PERÍCIA","2017-01-11","001/1.16.0012631-7"
"PERÍCIA","2017-01-16","001/1.16.0023735-6"
"PERÍCIA","2017-01-10","022/1.16.0014842-3"
"PERÍCIA","2017-01-18",""
"PERÍCIA","2017-01-19",""
"PERÍCIA","2017-01-20",""
"PERÍCIA","2017-02-08",""
"JULGAMENTO","2017-01-26","0020851-46.2014.5.04.0030"
"PERÍCIA","2017-02-03","NÃOINFORMADO"
"PERÍCIA","2017-02-03","001/1.14.0300906-7"
"PERÍCIA","2017-02-07","004/1.16.0006141-9"
"PERÍCIA","2017-02-22",""
"INSTRUÇÃO","2017-02-22","0020523-22.2015.5.04.0341"
"PERÍCIA","2017-02-23","0000579-03.2014.5.04.0104"
"JULGAMENTO","2016-12-07","5002290-57.2015.4.04.7103"
"PERÍCIA","2018-03-08","0021651-75.2017.5.04.0028"
"JULGAMENTO","2018-10-04","0021540.31.2015.5.04.0006"
"JULGAMENTO","2016-12-14","0020735-42.2015.5.04.0406"
"INICIAL","2018-10-01","0011073-19.2018.5.15.0026"
"JULGAMENTO","2016-12-16","0021108-03.2016.5.04.0030"
"JULGAMENTO","2016-10-13","5060697-65.2015.4.04.7100"
"JULGAMENTO","2016-10-19","001/1.13.0276576-1"
"JULGAMENTO","2016-11-03","001/1.14.0030096-8"
"JULGAMENTO","2016-11-29","5004264-83.2016.4.04.7107"
"PERÍCIA","2016-11-30",""
"INSTRUÇÃO","2018-07-20","0022024-37.2016.5.04.0030"
"JULGAMENTO","2017-01-24","5000579-38.2016.4.04.7117"
"INSTRUÇÃO","2016-12-05","0021398-52.2015.5.04.0030"
"JULGAMENTO","2017-01-24","5027300-78.2016.4.04.7100"
"PERÍCIA","2017-07-04",""
"PERÍCIA","2017-03-06",""
"INICIAL","2016-12-01","0022062-49.2016.5.04.0030"
"INICIAL","2017-03-07","0021553-81.2016.5.04.0204"
"INICIAL","2016-12-05","0020682-12.2016.5.04.0702"
"INICIAL","2017-03-09","0022093-69.2016.5.04.0030"
"PERÍCIA","2016-12-16",""
"INSTRUÇÃO","2017-03-21","0022007-35.2015.5.04.0030"
"JULGAMENTO","2017-01-25","5003362-98.2015.4.04.7129"
"JULGAMENTO","2017-01-25","5011396-18.2016.4.04.7100"
"JULGAMENTO","2017-01-30","5006773-03.2015.4.04.7113"
"PERÍCIA","2016-12-07","0020595-35.2016.5.04.0030"
"PERÍCIA","2016-12-07",""
"CONCILIAÇÃO","2017-08-29","0021659-41.2015.5.04.0022"
"INSTRUÇÃO","2017-10-10","0022020-42.2016.5.04.0404"
"PERÍCIA","2016-12-13","0021703-02.2016.5.04.0030"
"PERÍCIA","2017-01-17",""
"INICIAL","2017-02-07",""
